Report	Description	Product	Report Analyst	Associated ask channel	Category	Support Domain	key	Product Requirement	Rank	Product PM	Associated Product	Associated Suite	Assignment Confident Level
Trial Balance by Property	The Trial Balance by Property provides the ending balance or net change of each GL account for the selected period with all of the selected properties listed side by side.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	trial_balance_by_property	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Trial Balance Comparison	The Trial Balance Comparison report shows the accounts and the Trail balance and ledger balance for each account associated with a property.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	System	Core (AP)	trial_balance_comparision	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Trial Balance Trailing	The Trial Balance Trailing provides a listing of all GL Accounts, and their total activity/ending balance or net change for the reporting period.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	trial_balance_trailing	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
UEM/IP Processing		Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Utilities	Reports	uem/ip_processing	No Product Requirement			Utilities (UEM/UEO/RU)	Tech-Enabled Services	
Unallocated Payments And Concessions	The Unallocated Payments and Concessions report allows you to view details for all open, unallocated resident payments and concessions when an open charge also exists on the resident ledger. This information notifies you of any instances where payments and concessions may not be appropriately allocated, thus helping maintain clean, accurate resident ledgers.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	unallocated_payments_and_concessions	Entrata Core			Financial Operations - Customer Transactions	Property Ops Experience	
Unclaimed Property Payments	The Unclaimed Property report gives you an overview of what has or needs to be turned over to the state as unclaimed property.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	unclaimed_property_payments	Entrata Core			Financial Operations - Payments	Property Ops Experience	
Unit Exclusions	The Unit Exclusions report provides you with a list of all units that are flagged as excluded along with the exclusion reason and the starting and ending dates of when the unit was flagged.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	unit_exclusions	Entrata Core				N/A	
Unit Expenses	The Unit Expenses report lists expenses by unit, to help give you insight into what's been spent for a given unit over a selected period of time. The transactions listed will be pulled from invoices and journal entries where a line item has been associated to a unit.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	unit_expenses	No Product Requirement			Financial Operations - General Accounting	Property Ops Experience	
Unit Maintenance Alert	The Unit Maintenance Alert report provides you with information regarding the quantity of maintenance requests/items for a specific unit during specified time frame.  The report is useful for identifying units with an abnormal volume of maintenance needs.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Maintenance	Reports	unit_maintenance_alert	No Product Requirement			Asset Operations - Facilities Management	Property Ops Experience	
Unit Maintenance Expense	The Unit Maintenance Expense report displays the total labor, mileage, and material costs by work order for each unit over a period of time.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Maintenance	Reports	unit_maintenance_expense	No Product Requirement			Asset Operations - Facilities Management	Property Ops Experience	
Unit Space Data	The Unit Space Data report will list all the units/unit spaces for the property/properties selected, and will display data relating to each unit space (current resident, vacancy date, lease dates, deposits, scheduled rent, etc.). Currently, all clients (core and integrated) can use this report.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	unit_space_data	Entrata Core, LeadManager				N/A	
Unit Type Rates	This report will display rent rates for each unit type and for every active lease term that is associated with the property(ies) selected.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	unit_type_rates	Entrata Core				N/A	
Unsettled Payments	The Unsettled Payments report shows details regarding payments that have not settled into the bank account.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Payments	Reports	unsettled_payments	No Product Requirement			Financial Operations - Payments	Property Ops Experience	
User Login History	Through this report you can easily bulk audit user login history	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	user_login_history	No Product Requirement			Permissions/users/groups	Central Services & Data Management Platform	
User Permissions Change Log	The User Permissions Change Log report allows you to view a list of all changes made to a user or group permissions/assignments during a specified period of time and who made the change.  This will capture any changes made to Setup >> Users & Groups.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	user_permissions_change_log	No Product Requirement			Permissions/users/groups	Central Services & Data Management Platform	
Users And Groups	The Users and Groups Report report will list all Users and Groups within the company and their various permissions and assignments that have been configured.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	users_and_groups	No Product Requirement			Permissions/users/groups	Central Services & Data Management Platform	
Utility Benchmarking	This report will allow you to see the expense and consumption rank for properties	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Utilities	Reports	utility_benchmarking	Utility Expense Management			Utilities (UEM/UEO/RU)	Tech-Enabled Services	
Utility Bill	The Utility Bill report will list the utility bills for your properties.	Utilities Expense Management	Alysha Nielson	#ask-utilities-expense-management	Utilities	Reports	utility_bill	Utility Expense Management			Utilities (UEM/UEO/RU)	Tech-Enabled Services	
Utility Bill Audits	The Utility Bill Audits report shows the details of utility audits that have occurred.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Utilities	Reports	utility_audit	Utility Expense Management			Utilities (UEM/UEO/RU)	Tech-Enabled Services	
Utility Commodity	This report will take the expense or consumption for a property and break it out by month so that I can see the data I need to give to an energy broker to procure energy.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Utilities	Reports	utility_commodity	Utility Expense Management			Utilities (UEM/UEO/RU)	Tech-Enabled Services	
Unit Licenses	The Unit Licenses report enables you to see which licenses have been stored on a unit. All units are shown in the report, as well as the licenses, residents, and applicants assigned to the unit.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	unit_licenses	No Product Requirement					
Utility Opportunity	This report will allow you to compare properties expense and consumption	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Utilities	Reports	utility_opportunity	Utility Expense Management			Utilities (UEM/UEO/RU)	Tech-Enabled Services	
Utility Trend Report	The UtilityTrend report shows the trends of each utility account over a period of time.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Utilities	Reports	account_utility_trend	Utility Expense Management			Utilities (UEM/UEO/RU)	Tech-Enabled Services	
Utility Trends	This report will display the trending consumption and expense for utility commodities.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Utilities	Reports	utilities_trends	Utility Expense Management			Utilities (UEM/UEO/RU)	Tech-Enabled Services	
Vacant Unit Cost Management (VCM)	The Vacant Unit Cost Management (VCM) shows a quick view of what the high costs and potential leaks per vacant unit.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Utilities	Reports	vcr_high_vacant_unit	ResidentUtility			Utilities (UEM/UEO/RU)	Tech-Enabled Services	
VCR Only Recovery	The VCR Only Recovery report shows you a detailed list of what your vacant cost recovery is by unit and resident.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Utilities	Reports	vcr_only_recovery	No Product Requirement			Utilities (UEM/UEO/RU)	Tech-Enabled Services	
VCR Portfolio Performance	The VCR Portfolio Performance report gives a you a view of how your portfolio does with vacant cost recovery.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Utilities	Reports	vcr_portfolio_performance	ResidentUtility			Utilities (UEM/UEO/RU)	Tech-Enabled Services	
VCR Recovery	The VCR Recovery report shows you a detailed list of what your vacant cost recovery is by unit and resident.	Utilities Expense Recapture	Jeanine Miller	#ask-utilities-expense-recapture	Utilities	Reports	vcr_recovery	ResidentUtility			Utilities (UEM/UEO/RU)	Tech-Enabled Services	
Vendor Access Utilization	The VendorAccess Utilization report provides an overview of utilization of the VendorAccess tool across your vendors. It'll display the number missing information like Tax ID's, which have been invited to sign up, and what locations have been mapped.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	vendor_access_utilization	Entrata Core, VendorAccess			Financial Operations - Vendors	Property Ops Experience	
Vendor Accounts	The purpose of this report is to provide clients with a place they can view Vendor Hopper Numbers without having to go into each vendor individually. This report can be downloaded and used to fill out form letters.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	vendor_accounts	No Product Requirement			Financial Operations - Vendors	Property Ops Experience	
Vendor Contracts by Cost Code	This report gives our Job Costing users the ability to see cost code totals, with a breakdown by vendor for each code.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	vendor_contracts_by_cost_code	Entrata Job Costing			Asset Operations - Budgeting and Job Costing	Property Ops Experience	
Vendor Details	The Vendor Details report displays general information about vendors.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	vendor_details	Entrata Core			Financial Operations - Vendors	Property Ops Experience	
Vendor Exemptions	The Vendor Exemptions report shows which vendors are exempt from vendor compliance rules, and gives details on why they are exempt.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	vendor_exemptions	No Product Requirement			Financial Operations - Vendors	Property Ops Experience	
Vendor Insurance	The Vendor Insurance report displays insurance policy information by vendor. The report is useful for reviewing vendor insurance policy information such as policy expiration and limit amounts.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	vendor_insurance	Entrata Core			Financial Operations - Vendors	Property Ops Experience	
Vendor Invoice Details	The Vendor Invoice Details report provides summary or line item invoice information based on several user inputs such as vendor, date, and posting status.  The report is helpful for reviewing high level invoice information, as well as the GL account to which each invoice line item is booked.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	vendor_invoice_details	Entrata Core	21-30		Financial Operations - Invoices	Property Ops Experience	
Vendor Ledger	The Vendor Ledger Report provides you with details on vendor invoice and payment transactions by vendor. The report is useful for viewing transaction history by vendor and determining vendor balances.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	vendor_ledger	Entrata Core			Financial Operations - Vendors	Property Ops Experience	
Vendor Ledger (Non Core)	This report will allow non-Entrata Core users to view vendor ledger activity.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	System	Core (AP)	vendor_ledger_non_core_integrations	No Product Requirement			Financial Operations - Vendors	Property Ops Experience	
Vendor Transactions by Month	This report provides a summary view of monthly invoice amounts by vendor. This report can be useful in determining trends and catching anomalies.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	vendor_transactions_by_months	No Product Requirement			Financial Operations - Vendors	Property Ops Experience	
Vendor Transactions by Month (Non Core)	This report lists vendor activity summarized by month for non-Entrata Core users.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	System	Core (AP)	vendor_transactions_by_month	Entrata Core			Financial Operations - Vendors	Property Ops Experience	
Violation Manager	This report shows a summary of the type and amount of resident violations that occur at a property. The detail view will give insight into violations for the period selected.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	violation_manager	Entrata Core			Resident Operations - Workflows	Property Ops Experience	
Wait List	The <strong>Wait List</strong> report allows you to download/print your applicant wait lists.  This report ties directly into the Leads >> Tools >> "View Wait List" tool.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	wait_list	Entrata Core, Entrata Affordable			Online Application	Leasing	
Warranty Tracking	The Warranty Tracking report allows you to quickly see warranty information for all of the company/property assets broken down by category or property. It is especially useful for tracking expiration dates.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	warranty_tracking	Entrata Core			Asset Operations - Asset Optimization	Property Ops Experience	
Web Service Logs	Web Service Logs	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	web_service_logs	No Product Requirement			Integration enablement: API Framework	Central Services & Data Management Platform	
Weekly Performance	The Weekly Performance Report is a high level report that will show a count of new leads, the type of first contact, and if a manual contact has been attempted on each of these leads. The detail view will show each lead listed on a separate line with each of the performed events listed. Report excludes Other Income profiles.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	weekly_performance	No Product Requirement			Lead Management	Marketing	
Work Order Details	The Work Order Details report allows you to view various details on work orders in order to see the total days the work order was opened, the total cost of the work order as well as average days and cost of each work order. This will enable you to track trends on how long it takes work orders to be completed and their associated costs based on the property, work order category, assigned maintenance staff and individual problem.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Maintenance	Reports	work_order_details	No Product Requirement	11-20		Asset Operations - Facilities Management	Property Ops Experience	
Work Order Labor	The Work Order Labor report provides you with all labor charges from work orders for a user-defined property and period.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Maintenance	Reports	work_order_labor	No Product Requirement			Asset Operations - Facilities Management	Property Ops Experience	
Work Order Mileage	The Work Order Mileage report allows you to see how much mileage has been logged per work order.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Maintenance	Reports	work_order_mileage	No Product Requirement			Asset Operations - Facilities Management	Property Ops Experience	
Work Order Origin	The Work Order Origin Report allows properties to measure the number of work orders that are submitted through each source. Sources include: Entrata, Resident Portal, Integration, Mobile Portal, Site Tablet, Leasing Center, and Inspection Manager.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Maintenance	Reports	work_order_origin	No Product Requirement			Asset Operations - Facilities Management	Property Ops Experience	
Work Order Performance	The Work Order Performance report is a military report that looks at how many work orders were received in a given period and what the response rate was and the completion rate. The report is also looking at the total work orders carried over from the last period.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Maintenance	Reports	work_order_performance	Entrata Core, ResidentPortal, Facilities Management			Asset Operations - Facilities Management	Property Ops Experience	
Work Order Satisfaction	The Work Order Satisfaction report will show the results of the work order surveys that are sent out to residents who recently had a work order completed.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Maintenance	Reports	work_order_satisfaction	No Product Requirement			Asset Operations - Facilities Management	Property Ops Experience	
Work Order Satisfaction Surveys	This report displays all surveys sent to residents after a work order has been completed, and provides pertinent details about the WO and residents.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Maintenance	Reports	work_order_satisfaction_surveys	No Product Requirement			Asset Operations - Facilities Management	Property Ops Experience	
Work Order Summary	Work Order Summary Report will give you a high level summary of work orders opened, canceled, completed, and pending within a defined period of time.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Maintenance	Reports	work_order_summary	No Product Requirement			Asset Operations - Facilities Management	Property Ops Experience	
Write-Off Recovery	This report will show information regarding write-off recovery activity in the chosen period of time.  This will allow clients to determine how much has been recovered and when for commision purposes if collections are done internally.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	write-off_recovery	Entrata Core			Financial Operations - Revenue Protection	Property Ops Experience	
YTD Actual + Remaining Forecast	This report displays the Year to Date actual amounts along with the remaining amount forecasted for the period selected.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Reports	ytd_actual_+_remaining_forecast	Advanced Budgeting			Advanced Budgeting		
